Ref,Val,Package,PosX,PosY,Rot,Side
"12V1","Screw_Terminal_01x02","691137710002",103.650000,-115.430000,-90.000000,top
"C1","10u","C_0603_1608Metric",153.320000,-96.265000,90.000000,top
"C2","10u","C_0603_1608Metric",148.390000,-106.270000,0.000000,top
"C3","10u","C_0603_1608Metric",153.295000,-99.585000,90.000000,top
"C4","10u","C_1206_3216Metric",122.330000,-107.505000,180.000000,top
"C5","0.1u","C_1206_3216Metric",117.295000,-107.545000,0.000000,top
"C6","10u","C_0603_1608Metric",153.335000,-102.940000,90.000000,top
"C7","10n","C_0402_1005Metric",118.415000,-82.225000,90.000000,top
"C8","15p","C_0402_1005Metric",118.215000,-87.605000,90.000000,top
"C9","100n","C_0402_1005Metric",129.970000,-89.220000,-90.000000,top
"C10","10n","C_0402_1005Metric",131.220000,-89.270000,-90.000000,top
"C11","15p","C_0402_1005Metric",116.945000,-91.325000,-90.000000,top
"D1","B5819W","D_SOD-123",126.160000,-106.230000,90.000000,top
"D2","RED","LED_0603_1608Metric",123.565000,-109.715000,0.000000,top
"D5","RED","LED_0603_1608Metric",113.875000,-80.145000,-90.000000,top
"D6","GREEN","LED_0603_1608Metric",116.695000,-80.127500,-90.000000,top
"D7","MBR0520LT","D_SOD-123",133.420000,-90.300000,-90.000000,top
"F1","250mA","Fuse_1206_3216Metric",111.345000,-117.087500,90.000000,top
"FB1","600 @100MHz","L_0805_2012Metric",115.960000,-109.990000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",102.455000,-102.040000,-90.000000,top
"J2","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",140.650000,-76.800000,-90.000000,top
"J3","DE9_Pins","A-DF_09_A_KG-T4S",159.680000,-96.045000,90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",103.620000,-91.750000,180.000000,top
"M1","Screw_Terminal_01x02","691137710002",145.350000,-129.250000,0.000000,top
"M2","Screw_Terminal_01x02","691137710002",124.350000,-129.250000,0.000000,top
"Q1","AO3401A","SOT-23",114.745000,-114.495000,-90.000000,top
"R1","1k","R_0402_1005Metric",122.655000,-111.945000,-90.000000,top
"R2","1k","R_0402_1005Metric",143.535000,-91.300000,0.000000,top
"R3","1k","R_0402_1005Metric",146.715000,-91.380000,180.000000,top
"R4","1K","R_0402_1005Metric",107.420000,-89.850000,0.000000,top
"R5","1K","R_0402_1005Metric",107.500000,-92.090000,0.000000,top
"R6","1k","R_0402_1005Metric",113.805000,-82.825000,90.000000,top
"R7","1k","R_0402_1005Metric",116.695000,-82.920000,90.000000,top
"R8","470R","R_0402_1005Metric",118.275000,-90.155000,-90.000000,top
"RXD","BLUE","LED_0603_1608Metric",143.050000,-93.607500,-90.000000,top
"TXD","GREEN","LED_0603_1608Metric",148.625000,-92.367500,-90.000000,top
"U1","MAX232","SOIC127P600X175-16N",148.300000,-99.835000,180.000000,top
"U2","L7805","SOT-223",119.595000,-101.465000,90.000000,top
"U3","PIC16F886-I/SS","SSOP28_MC_MCH",124.017199,-87.630001,0.000000,top
"U4","L293D","SOIC127P1032X265-20N",134.365000,-117.005000,-90.000000,top
"Y1","20MHz","XTAL_HC49P488W46L1150T500H350",112.835000,-91.427500,90.000000,top
